470,691,694,713,701,750,648,541,970,1008,1023,777,824,544,470,759,713,799,413,748,628,591,666,476,449,870,781,683,499,561,725,910,880,978,809,573,758,820,1067,971,941,818,606,749,558,663,976,895,774,618,668,820,787,994,1200,990,875,788,1290,1331,1354
0,0,335,398,318,215,284,251,296,129,224,210,307,209,163,196,457,96,162,223,191,24,163,172,335,355,376,274,228,244,151,138,341,446,302,75,76,79,640,396,475,344,344,374,295,364,375,252,235,212,253,282,333,334,267,515,371,424,542,473,493
570,432,759,774,720,680,647,828,946,507,149,83,172,88,200,70,0,0,244,189,0,0,75,159,592,650,490,484,523,523,628,800,1024,820,565,459,641,616,782,966,442,562,593,660,305,458,84,164,280,338,540,325,489,547,1300,1384,487,579,681,1363,1018
451,510,651,516,522,650,683,601,679,548,524,512,638,451,349,340,214,198,250,503,245,517,432,315,206,456,422,440,387,351,395,399,385,552,581,509,407,533,671,691,573,524,481,453,496,577,339,406,344,644,632,622,521,598,708,712,609,652,784,795,759
0,96,104,167,283,211,309,299,317,137,212,-33,281,194,180,214,405,61,337,344,255,256,212,195,330,362,390,305,250,232,142,151,150,387,296,97,83,77,615,431,462,406,347,357,320,356,186,217,170,247,268,231,368,339,301,583,495,508,627,470,514
313,459,579,576,538,531,636,540,571,454,637,354,408,337,306,329,362,123,234,303,154,292,270,362,322,450,357,439,284,261,217,426,579,573,435,303,389,364,582,452,587,455,430,462,434,424,390,422,304,474,537,559,657,492,557,464,501,476,646,861,994
280,269,340,202,244,402,369,287,376,345,417,263,274,239,194,202,254,125,207,307,277,331,360,184,203,337,330,218,221,287,328,315,379,408,307,236,366,371,441,420,619,293,283,302,259,271,241,362,226,362,451,443,467,382,444,357,231,276,481,613,491
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,439,675,512,436,445,517,449,517,398,376,563,417,330,291,367,85,131,0,154,108,233,252,187,386,536,541,355,267,350,351,390,664,615,514,439,400,410,758,796,432,381,388,463,430,524,485,374,260,428,541,419,486,446,539,687,523,551,796,817,753
746,1061,1494,1059,1291,1395,997,1077,1532,1603,1066,1159,1360,1047,647,1301,633,654,687,853,573,768,852,634,887,1328,1114,884,744,962,1000,1385,1215,1370,998,888,1125,1189,1727,1406,1585,874,675,1165,683,772,863,1061,819,820,921,789,755,1313,1763,1614,1033,922,1748,2183,1995
447,550,920,706,796,750,717,754,713,577,675,451,453,488,448,471,538,328,381,340,659,627,720,626,515,1027,983,796,632,833,848,923,1110,1213,1080,928,899,907,1393,1368,1514,979,903,891,473,940,710,774,784,980,1009,984,888,954,1130,1095,835,896,1155,1037,1195
1231,1125,1841,906,1107,1071,1290,1100,1756,1531,1629,1472,1597,1456,736,1641,723,649,1019,1359,1112,1565,1336,458,739,2024,1981,1931,1537,1304,1425,2212,2585,2067,1467,1148,1398,1277,2526,2036,2147,1935,1346,1992,1227,1629,2359,1876,1542,1370,1407,1079,1344,2541,3375,3103,2243,2092,3363,3813,3516
284,379,303,320,386,368,386,293,348,389,233,263,296,266,184,303,59,124,203,153,156,244,207,317,264,370,404,441,232,226,260,323,537,454,395,248,316,361,556,634,697,325,319,378,419,407,376,462,266,334,344,261,316,286,485,346,216,345,551,573,644
296,288,218,452,533,563,474,464,514,409,452,418,340,296,265,64,368,249,0,0,0,0,0,0,0,0,0,22,252,296,322,368,-46,334,362,181,245,300,430,457,539,224,338,287,275,269,347,434,361,388,511,422,427,427,491,404,237,498,595,691,686
482,633,691,802,1047,975,943,811,1082,733,800,960,809,701,690,799,899,866,891,868,719,761,787,932,834,886,920,777,688,818,755,937,1163,1169,1167,669,762,927,1192,861,1101,648,573,896,792,894,678,860,605,817,1079,846,1122,1035,1214,942,745,813,1241,1445,1326
1107,1304,2047,1633,1914,1865,1824,1464,2442,1523,1901,1766,1941,1557,895,1662,903,735,966,1280,1191,1416,1693,925,1108,1808,1898,1679,1311,1412,1393,1990,2377,2233,1749,1462,1645,1716,2544,1931,2167,1930,1355,2186,1706,2152,1971,2046,1777,1797,2264,2017,1858,2566,3037,2801,2088,1822,3034,3054,2771
